SiteName,latitude,longitude,sample_duration,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/1/2024,Parts per million,0.5125,7,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/2/2024,Parts per million,0.595652,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/2/2024,Parts per million,0.616667,8,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/3/2024,Parts per million,0.53913,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/3/2024,Parts per million,0.5125,8,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/4/2024,Parts per million,0.778261,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/4/2024,Parts per million,0.808333,11,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/5/2024,Parts per million,0.517391,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/5/2024,Parts per million,0.529167,7,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/6/2024,Parts per million,0.715,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/6/2024,Parts per million,0.683333,9,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/7/2024,Parts per million,0.330435,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/7/2024,Parts per million,0.375,7,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/8/2024,Parts per million,0.430435,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/8/2024,Parts per million,0.404167,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/9/2024,Parts per million,0.386957,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/9/2024,Parts per million,0.4125,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/10/2024,Parts per million,0.245455,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/10/2024,Parts per million,0.275,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/11/2024,Parts per million,0.195652,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/11/2024,Parts per million,0.2,2,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/12/2024,Parts per million,0.3,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/12/2024,Parts per million,0.270833,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/13/2024,Parts per million,0.595455,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/13/2024,Parts per million,0.575,10,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/14/2024,Parts per million,0.565217,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/14/2024,Parts per million,0.583333,9,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/15/2024,Parts per million,0.365217,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/15/2024,Parts per million,0.383333,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/16/2024,Parts per million,0.308696,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/16/2024,Parts per million,0.308333,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/17/2024,Parts per million,0.256522,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/17/2024,Parts per million,0.275,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/18/2024,Parts per million,0.2,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/18/2024,Parts per million,0.2,2,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/19/2024,Parts per million,0.236364,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/19/2024,Parts per million,0.2125,3,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,3/20/2024,Parts per million,0.281818,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,3/20/2024,Parts per million,0.325,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
