SiteName,latitude,longitude,sample_duration,pollutant_standard,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/28/2024,Parts per million,0.022647,31,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/29/2024,Parts per million,0.043471,45,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/30/2024,Parts per million,0.036294,43,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,3/31/2024,Parts per million,0.026,43,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,4/1/2024,Parts per million,0.015588,27,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,4/2/2024,Parts per million,0.042,42,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,4/3/2024,Parts per million,0.034706,36,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,4/4/2024,Parts per million,0.026294,29,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,4/5/2024,Parts per million,0.034235,33,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
0004,40.008889,-75.09778,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,4/6/2024,Parts per million,0.038,38,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.
