"Date","SiteName","SiteNumber","Unit","Measurement","Latitude","Longitude"
2025-03-06,"NEW",421010048,"PPB",7.57142857142857,39.991389,-75.080833
2025-03-06,"TOR",421010075,"PPB",6.9875,40.054171,-74.985166
2025-03-07,"MON",421010076,"PPB",2.48695652173913,39.988842,-75.207205
2025-03-07,"NEW",421010048,"PPB",7.30434782608696,39.991389,-75.080833
2025-03-07,"TOR",421010075,"PPB",7.12,40.054171,-74.985166
2025-03-08,"MON",421010076,"PPB",5.1875,39.988842,-75.207205
2025-03-08,"NEW",421010048,"PPB",8.26521739130435,39.991389,-75.080833
2025-03-08,"TOR",421010075,"PPB",10.1291666666667,40.054171,-74.985166
2025-03-09,"MON",421010076,"PPB",6.62272727272727,39.988842,-75.207205
2025-03-09,"NEW",421010048,"PPB",8.61818181818182,39.991389,-75.080833
2025-03-09,"TOR",421010075,"PPB",11.2545454545455,40.054171,-74.985166
2025-03-10,"MON",421010076,"PPB",18.5875,39.988842,-75.207205
2025-03-10,"NEW",421010048,"PPB",18.1260869565217,39.991389,-75.080833
2025-03-10,"TOR",421010075,"PPB",28.2958333333333,40.054171,-74.985166
2025-03-11,"MON",421010076,"PPB",21.1086956521739,39.988842,-75.207205
2025-03-11,"NEW",421010048,"PPB",22.1739130434783,39.991389,-75.080833
2025-03-11,"TOR",421010075,"PPB",26.4916666666667,40.054171,-74.985166
2025-03-12,"MON",421010076,"PPB",17.1947368421053,39.988842,-75.207205
2025-03-12,"NEW",421010048,"PPB",11.5,39.991389,-75.080833
2025-03-12,"TOR",421010075,"PPB",16.745,40.054171,-74.985166
2025-03-13,"MON",421010076,"PPB",25.8434782608696,39.988842,-75.207205
2025-03-13,"NEW",421010048,"PPB",7.3952380952381,39.991389,-75.080833
2025-03-13,"TOR",421010075,"PPB",6.21739130434783,40.054171,-74.985166
2025-03-14,"MON",421010076,"PPB",21.4291666666667,39.988842,-75.207205
2025-03-14,"NEW",421010048,"PPB",10.2210526315789,39.991389,-75.080833
2025-03-14,"TOR",421010075,"PPB",12.1291666666667,40.054171,-74.985166
2025-03-15,"MON",421010076,"PPB",16.6565217391304,39.988842,-75.207205
2025-03-15,"NEW",421010048,"PPB",5.32608695652174,39.991389,-75.080833
2025-03-15,"TOR",421010075,"PPB",2.6304347826087,40.054171,-74.985166
2025-03-16,"MON",421010076,"PPB",11.9416666666667,39.988842,-75.207205
2025-03-16,"NEW",421010048,"PPB",4.92608695652174,39.991389,-75.080833
2025-03-16,"TOR",421010075,"PPB",3.14583333333333,40.054171,-74.985166
